name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations,Hourly Demand Met (in MW),Day,Public Holiday
delhi,2023-01-01T00:00:00,11,11,10,93.55,0,0,,0,0,10.8,5.4,250,1020,0,2,0,0,0,10,Clear,clear-night,"VIDP,42181099999",138212.8,Sunday,No
delhi,2023-01-01T01:00:00,10,9.6,9,93.5,0,0,,0,0,11.2,5.4,250,1020,0,2,0,0,0,10,Clear,clear-night,"VIDP,42181099999",134620.74,Sunday,No
delhi,2023-01-01T02:00:00,8.6,8.6,7.7,93.81,0,0,,0,0,11.2,0,307.7,1019.5,5,1.2,0,0,0,10,Clear,clear-night,"42182099999,VIDP,42181099999",131384.79,Sunday,No
delhi,2023-01-01T03:00:00,10,10,9,93.5,0,0,,0,0,12.2,0,0,1019,0,2,0,0,0,10,Clear,clear-night,"VIDP,42181099999",130602.47,Sunday,No
delhi,2023-01-01T04:00:00,9,8.5,9,100,0,0,,0,0,9.7,5.4,270,1019,0,1,0,0,0,10,Clear,clear-night,"VIDP,42181099999",133288.97,Sunday,No
delhi,2023-01-01T05:00:00,7.9,7.9,7.6,98.05,0,0,,0,0,7.2,0.8,270,1019.9,40,1,0,0,0,10,Partially cloudy,partly-cloudy-night,"42182099999,VIDP,42181099999",143888.71,Sunday,No
delhi,2023-01-01T06:00:00,9,8.5,9,100,0,0,,0,0,5,5.4,300,1020,0,1,0,0,0,10,Clear,clear-night,"VIDP,42181099999",155446.31,Sunday,No
delhi,2023-01-01T07:00:00,9,9,9,100,0,0,,0,0,5,3.6,250,1020,27.2,1,0,0,0,10,Partially cloudy,partly-cloudy-night,"VIDP,42181099999",167779.45,Sunday,No
delhi,2023-01-01T08:00:00,9.9,9.9,9.3,96.18,0,0,,0,0,4.7,3.8,269,1021.8,37.5,1,1,0,0,10,Partially cloudy,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999",178771.14,Sunday,No
delhi,2023-01-01T09:00:00,13,13,10,82.01,0,0,,0,0,4.3,5.4,250,1022,0,1,73,0.3,1,10,Clear,clear-day,"VIDP,42181099999",188824.25,Sunday,No
delhi,2023-01-01T10:00:00,14,14,10,76.84,0,0,,0,0,1.8,9.4,250,1023,0,2,209,0.8,2,10,Clear,clear-day,"VIDP,42181099999",193145.72,Sunday,No
delhi,2023-01-01T11:00:00,17.2,17.2,10.7,65.4,0,0,,0,0,2.2,8,250,1022.5,0,1.9,409,1.5,4,10,Clear,clear-day,"42182099999,VIDP,42139099999,42181099999",191646.95,Sunday,No
delhi,2023-01-01T12:00:00,17,17,11,67.77,0,0,,0,0,3.2,7.6,270,1022,0,2,529,1.9,5,10,Clear,clear-day,"VIDP,42181099999",188169.65,Sunday,No
delhi,2023-01-01T13:00:00,19,19,12,63.85,0,0,,0,0,2.9,5.4,270,1021,0,2,589,2.1,6,10,Clear,clear-day,"VIDP,42181099999",182866.46,Sunday,No
delhi,2023-01-01T14:00:00,20.1,20.1,10.2,52.83,0,0,,0,0,5,4.1,271,1019.3,41.7,2.2,583,2.1,6,10,Partially cloudy,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999",176995.99,Sunday,No
